"C:\Program Files\Java\jdk1.8.0_131\bin\java" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\lib\idea_rt.jar=53192:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\bin" -Dfile.encoding=UTF-8 -classpath "C:\Program Files\Java\jdk1.8.0_131\jre\lib\charsets.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\deploy.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\access-bridge-64.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\cldrdata.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\dnsns.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\jaccess.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\jfxrt.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\localedata.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\nashorn.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\sunec.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\sunjce_provider.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\sunmscapi.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\sunpkcs11.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\zipfs.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\javaws.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\jce.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\jfr.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\jfxswt.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\jsse.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\management-agent.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\plugin.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\resources.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\rt.jar;D:\dev\751G10\MavenTest\target\classes;C:\Users\Will\.m2\repository\org\openjdk\jmh\jmh-core\1.0\jmh-core-1.0.jar;C:\Users\Will\.m2\repository\net\sf\jopt-simple\jopt-simple\4.6\jopt-simple-4.6.jar;C:\Users\Will\.m2\repository\org\apache\commons\commons-math3\3.2\commons-math3-3.2.jar" org.sample.MyBenchmark
# VM invoker: C:\Program Files\Java\jdk1.8.0_131\jre\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\lib\idea_rt.jar=53192:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\bin -Dfile.encoding=UTF-8
# Warmup: 10 iterations, 1 s each
# Measurement: 50 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.sample.MyBenchmark.testMethod1

# Run progress: 0.00% complete, ETA 00:04:00
# Fork: 1 of 1
# Warmup Iteration   1: 12.048 ops/s
# Warmup Iteration   2: 22.738 ops/s
# Warmup Iteration   3: 27.628 ops/s
# Warmup Iteration   4: 27.477 ops/s
# Warmup Iteration   5: 27.460 ops/s
# Warmup Iteration   6: 27.121 ops/s
# Warmup Iteration   7: 27.693 ops/s
# Warmup Iteration   8: 27.968 ops/s
# Warmup Iteration   9: 28.241 ops/s
# Warmup Iteration  10: 28.463 ops/s
Iteration   1: 28.292 ops/s
Iteration   2: 27.507 ops/s
Iteration   3: 27.774 ops/s
Iteration   4: 27.964 ops/s
Iteration   5: 27.820 ops/s
Iteration   6: 26.596 ops/s
Iteration   7: 28.105 ops/s
Iteration   8: 28.303 ops/s
Iteration   9: 28.270 ops/s
Iteration  10: 27.567 ops/s
Iteration  11: 27.629 ops/s
Iteration  12: 27.921 ops/s
Iteration  13: 28.032 ops/s
Iteration  14: 28.040 ops/s
Iteration  15: 28.043 ops/s
Iteration  16: 28.089 ops/s
Iteration  17: 28.294 ops/s
Iteration  18: 28.118 ops/s
Iteration  19: 27.934 ops/s
Iteration  20: 27.883 ops/s
Iteration  21: 27.970 ops/s
Iteration  22: 27.880 ops/s
Iteration  23: 27.937 ops/s
Iteration  24: 27.190 ops/s
Iteration  25: 27.773 ops/s
Iteration  26: 26.687 ops/s
Iteration  27: 27.548 ops/s
Iteration  28: 26.992 ops/s
Iteration  29: 25.986 ops/s
Iteration  30: 28.007 ops/s
Iteration  31: 27.636 ops/s
Iteration  32: 28.374 ops/s
Iteration  33: 28.385 ops/s
Iteration  34: 28.587 ops/s
Iteration  35: 28.391 ops/s
Iteration  36: 27.739 ops/s
Iteration  37: 28.162 ops/s
Iteration  38: 28.339 ops/s
Iteration  39: 28.486 ops/s
Iteration  40: 28.401 ops/s
Iteration  41: 28.344 ops/s
Iteration  42: 28.546 ops/s
Iteration  43: 28.867 ops/s
Iteration  44: 28.106 ops/s
Iteration  45: 28.598 ops/s
Iteration  46: 28.083 ops/s
Iteration  47: 28.695 ops/s
Iteration  48: 28.536 ops/s
Iteration  49: 27.427 ops/s
Iteration  50: 28.733 ops/s


Result: 27.972 ±(99.9%) 0.278 ops/s [Average]
  Statistics: (min, avg, max) = (25.986, 27.972, 28.867), stdev = 0.561
  Confidence interval (99.9%): [27.694, 28.249]


# VM invoker: C:\Program Files\Java\jdk1.8.0_131\jre\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\lib\idea_rt.jar=53192:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\bin -Dfile.encoding=UTF-8
# Warmup: 10 iterations, 1 s each
# Measurement: 50 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.sample.MyBenchmark.testMethod2

# Run progress: 25.00% complete, ETA 00:03:38
# Fork: 1 of 1
# Warmup Iteration   1: 11.998 ops/s
# Warmup Iteration   2: 16.326 ops/s
# Warmup Iteration   3: 17.697 ops/s
# Warmup Iteration   4: 17.225 ops/s
# Warmup Iteration   5: 16.663 ops/s
# Warmup Iteration   6: 16.789 ops/s
# Warmup Iteration   7: 18.109 ops/s
# Warmup Iteration   8: 16.684 ops/s
# Warmup Iteration   9: 17.096 ops/s
# Warmup Iteration  10: 17.626 ops/s
Iteration   1: 17.323 ops/s
Iteration   2: 18.160 ops/s
Iteration   3: 17.114 ops/s
Iteration   4: 17.356 ops/s
Iteration   5: 17.365 ops/s
Iteration   6: 18.037 ops/s
Iteration   7: 17.479 ops/s
Iteration   8: 17.253 ops/s
Iteration   9: 16.516 ops/s
Iteration  10: 18.278 ops/s
Iteration  11: 17.881 ops/s
Iteration  12: 17.807 ops/s
Iteration  13: 17.492 ops/s
Iteration  14: 17.806 ops/s
