"C:\Program Files\Java\jdk1.8.0_131\bin\java" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\lib\idea_rt.jar=58072:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\bin" -Dfile.encoding=UTF-8 -classpath "C:\Program Files\Java\jdk1.8.0_131\jre\lib\charsets.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\deploy.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\access-bridge-64.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\cldrdata.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\dnsns.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\jaccess.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\jfxrt.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\localedata.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\nashorn.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\sunec.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\sunjce_provider.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\sunmscapi.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\sunpkcs11.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\zipfs.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\javaws.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\jce.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\jfr.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\jfxswt.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\jsse.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\management-agent.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\plugin.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\resources.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\rt.jar;D:\dev\751G10\MavenTest\target\classes;C:\Users\Will\.m2\repository\org\openjdk\jmh\jmh-core\1.0\jmh-core-1.0.jar;C:\Users\Will\.m2\repository\net\sf\jopt-simple\jopt-simple\4.6\jopt-simple-4.6.jar;C:\Users\Will\.m2\repository\org\apache\commons\commons-math3\3.2\commons-math3-3.2.jar" org.sample.MyBenchmark
# VM invoker: C:\Program Files\Java\jdk1.8.0_131\jre\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\lib\idea_rt.jar=58072:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\bin -Dfile.encoding=UTF-8
# Warmup: 10 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.sample.MyBenchmark.testMethod1

# Run progress: 0.00% complete, ETA 00:09:10
# Fork: 1 of 1
# Warmup Iteration   1: 88484.973 ops/s
# Warmup Iteration   2: 105024.827 ops/s
# Warmup Iteration   3: 104059.220 ops/s
# Warmup Iteration   4: 104814.510 ops/s
# Warmup Iteration   5: 105071.648 ops/s
# Warmup Iteration   6: 98247.759 ops/s
# Warmup Iteration   7: 104651.050 ops/s
# Warmup Iteration   8: 105206.935 ops/s
# Warmup Iteration   9: 105149.489 ops/s
# Warmup Iteration  10: 105314.255 ops/s
Iteration   1: 105081.886 ops/s
Iteration   2: 104667.937 ops/s
Iteration   3: 104922.601 ops/s
Iteration   4: 104971.361 ops/s
Iteration   5: 105240.906 ops/s
Iteration   6: 105064.938 ops/s
Iteration   7: 104539.084 ops/s
Iteration   8: 104038.043 ops/s
Iteration   9: 102265.266 ops/s
Iteration  10: 105445.157 ops/s
Iteration  11: 104102.724 ops/s
Iteration  12: 105113.463 ops/s
Iteration  13: 104997.168 ops/s
Iteration  14: 104207.890 ops/s
Iteration  15: 96350.593 ops/s
Iteration  16: 101133.616 ops/s
Iteration  17: 103441.184 ops/s
Iteration  18: 104948.120 ops/s
Iteration  19: 105956.468 ops/s
Iteration  20: 104969.927 ops/s
Iteration  21: 104867.065 ops/s
Iteration  22: 104736.478 ops/s
Iteration  23: 105178.479 ops/s
Iteration  24: 105525.719 ops/s
Iteration  25: 105490.380 ops/s
Iteration  26: 105079.200 ops/s
Iteration  27: 105546.811 ops/s
Iteration  28: 105575.009 ops/s
Iteration  29: 103250.908 ops/s
Iteration  30: 105498.817 ops/s
Iteration  31: 105645.365 ops/s
Iteration  32: 104916.556 ops/s
Iteration  33: 105156.552 ops/s
Iteration  34: 104671.996 ops/s
Iteration  35: 105858.497 ops/s
Iteration  36: 105502.572 ops/s
Iteration  37: 105943.667 ops/s
Iteration  38: 105494.696 ops/s
Iteration  39: 105841.137 ops/s
Iteration  40: 105605.545 ops/s
Iteration  41: 105644.535 ops/s
Iteration  42: 105654.091 ops/s
Iteration  43: 105661.254 ops/s
Iteration  44: 105793.143 ops/s
Iteration  45: 105882.719 ops/s
Iteration  46: 105477.230 ops/s
Iteration  47: 105456.076 ops/s
Iteration  48: 105626.054 ops/s
Iteration  49: 105137.871 ops/s
Iteration  50: 105641.898 ops/s
Iteration  51: 105490.987 ops/s
Iteration  52: 105865.930 ops/s
Iteration  53: 105872.430 ops/s
Iteration  54: 105474.011 ops/s
Iteration  55: 105380.560 ops/s
Iteration  56: 105430.007 ops/s
Iteration  57: 105475.460 ops/s
Iteration  58: 105547.422 ops/s
Iteration  59: 105624.281 ops/s
Iteration  60: 105520.337 ops/s
Iteration  61: 105543.870 ops/s
Iteration  62: 105556.593 ops/s
Iteration  63: 105451.600 ops/s
Iteration  64: 105846.718 ops/s
Iteration  65: 105273.620 ops/s
Iteration  66: 105424.121 ops/s
Iteration  67: 105777.501 ops/s
Iteration  68: 105825.667 ops/s
Iteration  69: 105484.193 ops/s
Iteration  70: 105796.166 ops/s
Iteration  71: 105578.836 ops/s
Iteration  72: 105820.243 ops/s
Iteration  73: 105511.986 ops/s
Iteration  74: 106240.975 ops/s
Iteration  75: 105699.828 ops/s
Iteration  76: 105400.362 ops/s
Iteration  77: 103897.624 ops/s
Iteration  78: 103600.922 ops/s
Iteration  79: 106196.186 ops/s
Iteration  80: 105583.746 ops/s
Iteration  81: 105648.194 ops/s
Iteration  82: 105758.348 ops/s
Iteration  83: 105886.156 ops/s
Iteration  84: 105848.061 ops/s
Iteration  85: 105260.088 ops/s
Iteration  86: 106156.363 ops/s
Iteration  87: 105608.290 ops/s
Iteration  88: 105503.330 ops/s
Iteration  89: 106011.622 ops/s
Iteration  90: 105831.504 ops/s
Iteration  91: 105250.272 ops/s
Iteration  92: 105475.201 ops/s
Iteration  93: 105395.864 ops/s
Iteration  94: 105786.007 ops/s
Iteration  95: 105620.123 ops/s
